"202102","횡성",16,6,10,0,0,0,10,5,1,0,0,16,0,4,0,1,0,3,4,4,0,0
"202102","포천",61,13,42,6,0,0,54,6,1,0,0,61,0,14,3,11,7,3,9,14,0,0
"202102","의왕",32,11,17,4,0,3,23,3,2,1,0,32,0,2,5,4,1,9,9,2,0,0
"202102","서울광진",127,36,80,11,0,7,95,22,3,0,0,127,0,23,17,17,17,14,11,28,3066952,346546
"202102","부산동부",40,6,30,4,0,7,28,4,0,1,0,40,0,4,4,5,5,9,8,5,0,0
"202102","울산울주",72,22,44,6,0,5,56,9,2,0,0,72,0,10,9,9,4,15,9,16,0,0
"202102","서울서대문",77,21,50,6,0,6,59,8,4,0,0,77,0,7,7,12,12,13,5,21,3943923,511110
"202102","안양동안",106,27,68,11,0,6,76,19,2,3,0,106,0,20,11,14,6,21,12,22,0,0
"202102","양주",80,26,45,9,0,2,69,8,1,0,0,80,0,12,6,14,19,7,11,11,0,0
"202102","정선",4,0,4,0,0,0,3,1,0,0,0,4,0,1,0,0,0,1,2,0,0,0
"202102","일산서부",69,19,40,10,0,6,59,2,1,1,0,69,0,24,4,4,13,9,10,5,0,0
"202102","정읍",20,7,12,1,0,0,13,7,0,0,0,20,0,0,8,5,1,3,3,0,0,0
"202102","고흥",22,4,15,3,0,1,14,5,1,1,0,22,0,2,3,5,1,4,2,5,0,0
"202102","인제",8,0,8,0,0,0,7,1,0,0,0,8,0,0,0,0,3,2,2,1,0,0
"202102","울산동부",46,12,27,7,0,0,39,6,0,1,0,46,0,10,3,7,7,3,6,10,0,0
"202102","천안서북",123,26,82,15,0,4,106,13,0,0,0,123,0,27,16,10,17,15,15,23,0,0
"202102","용인동부",169,52,105,12,0,6,130,27,5,1,0,169,0,26,18,29,13,20,33,30,0,0
"202102","여수",78,19,49,10,0,1,66,8,2,1,0,78,0,16,11,8,18,7,3,15,0,0
"202102","서울서초",92,37,44,11,0,8,71,7,4,2,0,92,0,24,5,8,22,13,13,7,4862372,423880
"202102","대전동부",84,30,46,8,0,2,59,20,1,2,0,84,0,9,18,9,15,10,6,17,0,0
"202102","대전유성",53,12,31,10,0,0,29,20,0,4,0,53,0,10,10,6,3,8,13,3,0,0
"202102","충주",58,11,46,1,0,2,45,9,1,1,0,58,0,10,9,5,4,12,6,12,0,0
"202102","양구",5,0,5,0,0,0,5,0,0,0,0,5,0,1,0,0,3,1,0,0,0,0
"202102","옥천",8,6,1,1,0,0,6,0,0,2,0,8,0,3,0,0,0,3,2,0,0,0
"202102","전주덕진",59,15,39,5,0,0,42,11,4,2,0,59,0,12,6,10,8,6,6,11,0,0
"202102","안양만안",102,22,71,9,0,3,74,21,1,3,0,102,0,18,11,9,16,14,14,20,0,0
"202102","광명",158,41,103,14,0,10,123,20,3,2,0,158,0,31,11,19,17,19,29,32,0,0
"202102","부산연제",53,16,34,3,0,4,40,8,1,0,0,53,0,10,7,13,4,3,5,11,0,0
"202102","서울수서",96,36,49,11,0,6,73,10,5,2,0,96,0,20,14,13,12,15,9,13,4760187,492676
"202102","완도",15,6,8,1,0,0,11,4,0,0,0,15,0,3,2,1,5,2,1,1,0,0
"202102","제주서부",91,28,55,8,0,1,71,13,3,3,0,91,0,13,15,12,12,13,12,14,0,0
"202102","인천중부",74,15,54,5,0,1,32,38,3,0,0,74,0,11,7,13,7,8,10,18,0,0
"202102","김포",213,64,138,11,0,8,159,40,5,1,0,213,0,36,26,32,24,26,32,37,0,0
"202102","부산사상",50,13,33,4,0,4,37,7,1,1,0,50,0,8,6,6,4,7,9,10,0,0
"202102","오산",117,40,71,6,0,6,86,16,5,4,0,117,0,33,8,14,27,8,13,14,0,0
"202102","서귀포",18,8,9,1,0,0,12,6,0,0,0,18,0,1,4,0,4,4,3,2,0,0
"202102","대구강북",83,28,43,12,0,3,68,11,0,1,0,83,0,14,8,9,8,14,19,11,0,0
"202102","강진",11,4,6,1,0,0,8,3,0,0,0,11,0,0,0,2,0,1,0,8,0,0
